Native CPU + submission-order software raster; in-game UNWITNESSED.
Tolerances: 1 HUD px, 6 RGB units. Minimum gates have zero tolerance.

| Aspect | Feature | Actual | Target | Residual | Result |
| 16:9 | housing | [35.425, 36.69, 37.253] | [44.493, 44.295, 45.297] | 9.068 RGB | FAIL |
| 16:9 | capsule | [247.492, 247.492, 249.492] | [248.1, 248.054, 249.931] | 0.608 RGB | PASS |
| 16:9 | capsule_rim | [187.175, 188.55, 189.65] | [222.625, 222.675, 223.588] | 35.45 RGB | FAIL |
| 16:9 | red | [214.823, 0.495, 51.354] | [236.601, 228.359, 229.859] | 227.864 RGB | FAIL |
| 16:9 | pointer | [53.367, 58.333, 58.767] | [68.067, 66.433, 69.567] | 14.7 RGB | FAIL |
| 16:9 | away_logo_box | [158.667, 406.519, 218.0, 432.237] | [159.0, 403.615, 211.333, 429.748] | 6.667 HUD px | FAIL |
| 16:9 | home_logo_box | [427.0, 391.17, 493.333, 435.556] | [427.333, 391.585, 493.333, 435.141] | 0.415 HUD px | PASS |
| 16:9 | away_score_box | [245.333, 400.296, 258.667, 421.867] | [245.333, 399.881, 258.667, 422.281] | 0.415 HUD px | PASS |
| 16:9 | home_score_box | [380.0, 400.296, 393.0, 421.867] | [379.667, 400.296, 393.0, 422.696] | 0.83 HUD px | PASS |
| 16:9 | down_cap | 11.615 | 9.541 | 2.074 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 16:9 | quarter_cap | 13.689 | 13.689 | 0.0 HUD px | PASS |
| 16:9 | play_clock_cap | 10.37 | 7.881 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 16:9 | score_white | [253.0, 253.0, 253.0] | [253.0, 253.0, 253.0] | 0.0 RGB | PASS |
| 16:9 | separator_x | 300.167 | 300.0 | 0.167 HUD px | PASS |
| 16:9 | label_minimum_cap | 12.446 | 12 | 0.0 HUD px | PASS |
| 16:9 | label_minimum_stem | 2.666 | 2.5 | 0.0 HUD px | PASS |
| 16:9 | label_skipped_columns | 8 | 8 | 0.0 count | PASS |
| 16:9 | label_digit_width | 8.003 | 5.333 | 2.67 HUD px | IMPOSSIBLE | The requested 2.5 HUD pixel stems and retail-scale digits require a wider SD cut than the 16 source pixel broadcast digit.

