filename,outer,team,file_year,used_by_moments,slot,first,last,position,jersey,classification,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,13,Cardinals,Def Tackle,DT,77,placeholder,53,64,11,68,26,53,67,63,24,23,91,34,11,10,30,37,30,10,65,83,26,49,35,99,56,5,83,65
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,14,Cardinals,Def Tackle,DT,75,placeholder,50,63,11,57,22,85,77,64,18,14,77,31,11,11,24,29,26,22,78,78,20,49,62,99,63,5,72,74
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,15,Cardinals,Def Tackle,DT,73,placeholder,61,66,11,60,23,89,75,52,21,22,73,29,10,11,26,33,29,4,71,82,23,49,80,99,48,5,41,88
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,16,Cardinals,Def Tackle,DT,70,placeholder,58,75,10,60,15,80,77,58,20,19,75,34,11,11,23,23,27,20,80,76,19,49,29,99,32,5,35,76
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,17,Cardinals,Def Tackle,DT,98,placeholder,45,60,10,63,15,71,73,58,18,23,63,32,11,11,22,23,30,16,55,60,17,49,34,99,35,5,50,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,18,Cardinals,Full Back,FB,35,placeholder,84,76,16,97,24,92,47,67,15,70,10,41,14,14,88,83,80,95,7,9,26,49,65,99,72,5,28,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,19,Cardinals,Full Back,FB,45,placeholder,82,70,16,79,16,92,63,58,11,29,6,59,13,13,44,49,55,72,10,14,15,49,36,99,28,5,19,9
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,20,Cardinals,Safety,FS,42,placeholder,81,88,12,93,22,84,39,76,78,8,82,6,12,11,14,30,31,34,48,68,25,49,54,1,53,5,65,46
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,21,Cardinals,Guard,G,66,placeholder,54,59,14,85,19,96,65,61,27,36,32,41,11,11,40,84,86,21,31,39,17,49,78,99,62,5,85,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,22,Cardinals,Guard,G,65,placeholder,51,64,12,75,22,93,67,44,14,32,29,12,10,11,26,84,80,8,27,26,21,49,81,99,83,5,80,49
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,23,Cardinals,Guard,G,63,placeholder,52,57,12,69,18,96,77,45,14,37,29,32,14,11,34,65,76,10,27,24,13,49,42,99,44,5,30,46
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,24,Cardinals,Guard,G,76,placeholder,46,62,12,72,19,83,85,52,6,22,21,11,10,10,10,70,62,8,16,27,15,49,28,99,42,5,51,20
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,25,Cardinals,Half Back,HB,21,placeholder,87,84,17,89,13,77,59,79,7,57,12,90,15,17,59,41,41,92,10,6,16,49,69,50,56,5,43,76
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,26,Cardinals,Half Back,HB,33,placeholder,89,68,28,72,11,92,67,84,30,47,22,77,27,28,53,44,27,60,16,20,13,49,39,99,38,5,54,70
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,27,Cardinals,Half Back,HB,34,placeholder,82,67,17,79,13,94,51,70,14,59,6,69,15,16,57,38,34,64,12,8,16,49,44,99,42,5,68,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,28,Cardinals,Half Back,HB,26,placeholder,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,29,Cardinals,Half Back,HB,20,placeholder,86,63,14,72,17,90,55,76,33,43,36,57,14,14,36,28,31,62,30,27,16,49,43,1,22,5,51,41
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,30,Cardinals,Linebacker,ILB,62,placeholder,75,76,10,64,6,89,57,82,72,15,92,22,11,11,18,27,20,24,63,89,5,49,89,99,63,5,95,76
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,31,Cardinals,Linebacker,ILB,56,placeholder,72,75,10,72,10,88,65,70,76,18,62,25,11,10,16,29,22,18,50,63,9,49,32,99,28,5,24,72
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,32,Cardinals,Linebacker,ILB,58,placeholder,76,66,10,90,16,77,67,69,53,43,64,42,11,10,34,38,37,24,39,60,16,49,36,99,23,5,39,51
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,33,Cardinals,Kicker,K,25,placeholder,37,43,11,39,83,88,30,40,16,17,40,16,11,12,19,27,20,36,12,12,72,99,15,50,53,5,41,20
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,34,Cardinals,Linebacker,OLB,54,placeholder,80,77,10,99,15,79,61,59,76,23,88,31,11,10,30,34,28,28,77,83,16,49,92,99,52,5,81,83
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,35,Cardinals,Linebacker,OLB,50,placeholder,74,72,10,85,14,84,71,67,76,18,86,31,11,11,23,34,26,34,72,78,13,49,87,99,69,5,77,77
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,36,Cardinals,Linebacker,OLB,59,placeholder,65,76,10,77,6,82,47,76,56,21,76,33,10,11,14,24,16,25,62,61,5,49,33,99,26,5,44,48
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,37,Cardinals,Punter,P,2,placeholder,45,49,21,55,80,89,34,42,26,25,39,18,23,24,27,23,19,32,23,14,67,1,41,50,61,5,95,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,38,Cardinals,Punter,P,9,placeholder,40,47,22,43,76,81,38,39,13,13,20,14,23,23,10,18,16,34,9,12,62,1,1,50,67,5,48,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,39,Cardinals,Quarterback,QB,17,placeholder,81,82,81,44,12,81,39,64,36,24,33,24,91,91,21,26,28,29,23,20,16,49,95,50,96,82,90,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,40,Cardinals,Quarterback,QB,13,placeholder,53,57,80,29,16,50,38,48,33,27,32,46,76,68,25,20,20,28,35,31,16,49,50,50,53,23,40,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,41,Cardinals,Safety,SS,48,placeholder,83,85,9,60,12,80,39,67,80,25,83,8,11,11,19,19,17,46,40,88,16,49,71,1,67,5,91,46
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,42,Cardinals,Safety,SS,40,placeholder,89,95,11,88,19,81,51,82,61,8,51,6,11,11,3,29,29,34,63,47,19,49,52,1,31,5,35,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,43,Cardinals,Tackle,T,72,placeholder,58,70,11,89,18,95,71,64,11,29,32,15,10,10,19,93,95,9,26,27,16,49,50,99,55,5,85,90
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,44,Cardinals,Tackle,T,69,placeholder,43,52,11,72,7,90,62,67,23,27,28,34,11,16,32,80,83,21,15,22,11,49,46,99,58,5,75,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,45,Cardinals,Tackle,T,53,placeholder,62,54,12,80,20,89,67,54,16,29,29,23,11,11,26,68,62,17,30,30,19,49,93,99,77,5,82,38
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,46,Cardinals,Tight End,TE,88,placeholder,68,68,10,37,16,81,49,61,10,83,6,65,11,10,79,79,78,47,7,7,18,49,32,99,70,5,82,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,47,Cardinals,Tight End,TE,83,placeholder,67,66,10,46,8,78,53,59,25,54,24,41,11,13,58,61,63,63,15,20,9,49,27,99,34,5,57,18
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,48,Cardinals,Receiver,WR,84,placeholder,91,89,15,73,17,89,33,84,6,94,12,78,16,17,90,46,43,85,8,7,16,49,79,50,54,5,99,89
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,49,Cardinals,Receiver,WR,87,placeholder,88,89,15,62,16,79,42,79,14,83,6,67,16,16,83,48,47,78,15,13,16,49,35,50,53,5,85,48
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,50,Cardinals,Receiver,WR,89,placeholder,74,68,15,62,10,28,57,62,7,70,13,53,15,15,87,35,47,67,8,13,14,49,54,50,54,5,94,42
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,51,Cardinals,Receiver,WR,30,placeholder,89,92,15,69,14,73,33,79,11,79,9,36,16,16,79,41,41,76,8,9,19,49,46,50,41,5,74,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,52,Cardinals,Receiver,WR,81,placeholder,85,74,13,55,14,62,34,81,33,56,32,35,13,12,56,33,29,58,20,16,15,49,34,50,31,5,80,14
h-01-1980-falcons-6.iff,114,falcons,1980,0,0,Falcons,Center,C,52,placeholder,45,63,12,98,26,96,63,55,31,17,30,23,11,10,23,96,98,10,35,40,22,49,84,99,77,5,93,68
h-01-1980-falcons-6.iff,114,falcons,1980,0,1,Falcons,Center,C,62,placeholder,52,58,11,76,17,99,91,67,6,8,16,7,10,10,9,54,52,8,11,33,13,49,27,99,42,5,35,22
h-01-1980-falcons-6.iff,114,falcons,1980,0,2,Falcons,Cornerback,CB,32,placeholder,87,86,9,70,18,83,45,82,95,14,74,10,11,11,42,19,26,43,30,60,19,49,84,1,79,5,86,78
h-01-1980-falcons-6.iff,114,falcons,1980,0,3,Falcons,Cornerback,CB,27,placeholder,83,85,9,53,17,82,35,78,92,14,67,10,11,10,24,30,28,43,25,59,19,49,78,1,69,5,95,60
h-01-1980-falcons-6.iff,114,falcons,1980,0,4,Falcons,Cornerback,CB,29,placeholder,91,74,11,72,21,76,35,77,83,8,75,6,11,11,35,46,43,34,53,62,22,49,35,1,32,5,55,76
h-01-1980-falcons-6.iff,114,falcons,1980,0,5,Falcons,Cornerback,CB,28,placeholder,81,77,9,60,18,95,53,64,68,11,71,8,11,10,26,22,27,37,32,55,19,49,24,1,47,5,86,45
h-01-1980-falcons-6.iff,114,falcons,1980,0,6,Falcons,Cornerback,CB,23,placeholder,88,82,11,94,24,66,41,88,73,7,64,35,11,11,39,44,42,32,47,50,26,49,58,1,43,5,55,24
h-01-1980-falcons-6.iff,114,falcons,1980,0,7,Falcons,Cornerback,CB,31,placeholder,91,79,11,60,17,86,49,76,67,7,45,5,11,11,21,23,23,32,38,42,15,49,31,1,32,5,48,39
h-01-1980-falcons-6.iff,114,falcons,1980,0,8,Falcons,Def End,DE,70,placeholder,76,64,10,70,20,79,73,64,46,18,85,29,11,10,19,27,20,18,93,80,20,49,70,99,66,5,75,81
h-01-1980-falcons-6.iff,114,falcons,1980,0,9,Falcons,Def End,DE,75,placeholder,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
h-01-1980-falcons-6.iff,114,falcons,1980,0,10,Falcons,Def End,DE,77,placeholder,50,48,10,53,20,74,75,59,10,18,73,28,10,10,23,28,24,4,79,78,21,49,26,99,33,5,74,77
h-01-1980-falcons-6.iff,114,falcons,1980,0,11,Falcons,Def Tackle,DT,64,placeholder,72,60,11,63,22,75,71,61,20,18,98,31,11,10,20,23,22,10,97,90,21,49,92,99,65,5,98,99
h-01-1980-falcons-6.iff,114,falcons,1980,0,12,Falcons,Def Tackle,DT,72,placeholder,63,79,10,82,22,68,67,61,26,29,94,47,11,11,31,31,35,39,79,90,23,49,44,99,46,5,75,79
h-01-1980-falcons-6.iff,114,falcons,1980,0,13,Falcons,Def Tackle,DT,74,placeholder,59,56,10,63,22,73,67,56,50,19,88,28,11,10,27,35,27,22,75,84,23,49,48,99,64,5,56,58
h-01-1980-falcons-6.iff,114,falcons,1980,0,14,Falcons,Def Tackle,DT,66,placeholder,61,66,11,60,23,89,75,52,21,22,73,29,10,11,26,33,29,4,71,82,23,49,80,99,48,5,41,88
h-01-1980-falcons-6.iff,114,falcons,1980,0,15,Falcons,Def Tackle,DT,91,placeholder,64,67,11,58,11,78,61,38,10,23,64,31,11,11,18,21,27,10,51,58,13,49,33,99,34,5,50,24
h-01-1980-falcons-6.iff,114,falcons,1980,0,16,Falcons,Full Back,FB,38,placeholder,83,82,18,92,22,95,82,70,6,68,5,93,14,16,70,79,79,86,10,14,21,49,74,99,75,5,99,99
h-01-1980-falcons-6.iff,114,falcons,1980,0,17,Falcons,Full Back,FB,40,placeholder,82,70,16,79,16,92,63,58,11,29,6,59,13,13,44,49,55,72,10,14,15,49,36,99,28,5,19,9
h-01-1980-falcons-6.iff,114,falcons,1980,0,18,Falcons,Safety,FS,33,placeholder,82,72,9,92,19,76,57,73,90,12,97,8,11,10,7,22,22,39,59,97,22,49,79,1,74,5,96,57
h-01-1980-falcons-6.iff,114,falcons,1980,0,19,Falcons,Safety,FS,26,placeholder,87,81,10,66,17,65,39,62,80,12,76,8,11,10,14,24,20,39,33,65,19,49,26,1,45,5,70,80
h-01-1980-falcons-6.iff,114,falcons,1980,0,20,Falcons,Guard,G,61,placeholder,32,61,12,83,22,94,79,58,13,29,26,15,10,10,21,82,87,8,24,28,19,49,80,99,74,5,45,39
h-01-1980-falcons-6.iff,114,falcons,1980,0,21,Falcons,Guard,G,73,placeholder,53,48,14,72,19,96,67,58,26,40,29,41,11,11,39,81,83,14,26,26,20,49,49,99,58,5,65,44
h-01-1980-falcons-6.iff,114,falcons,1980,0,22,Falcons,Guard,G,65,placeholder,42,66,14,85,22,94,71,45,33,41,32,49,11,11,48,70,70,20,41,32,21,49,54,99,48,5,38,24
h-01-1980-falcons-6.iff,114,falcons,1980,0,23,Falcons,Guard,G,76,placeholder,47,56,12,75,19,80,75,55,7,28,26,5,10,10,13,57,53,2,19,26,14,49,27,99,31,5,28,48
h-01-1980-falcons-6.iff,114,falcons,1980,0,24,Falcons,Half Back,HB,21,placeholder,86,80,22,92,16,93,51,73,14,65,11,84,25,22,65,41,45,81,14,6,18,49,61,99,60,5,75,73
h-01-1980-falcons-6.iff,114,falcons,1980,0,25,Falcons,Half Back,HB,39,placeholder,80,76,23,82,13,96,73,95,12,32,6,86,19,20,52,61,59,86,8,6,12,49,43,50,45,5,42,68
h-01-1980-falcons-6.iff,114,falcons,1980,0,26,Falcons,Half Back,HB,24,placeholder,83,68,15,67,16,90,71,79,11,31,6,61,13,13,61,48,50,75,10,14,15,49,36,50,39,5,36,9
h-01-1980-falcons-6.iff,114,falcons,1980,0,27,Falcons,Half Back,HB,36,placeholder,93,77,28,41,13,93,65,74,12,49,14,45,20,21,55,30,24,76,11,10,16,49,68,50,48,5,38,64
h-01-1980-falcons-6.iff,114,falcons,1980,0,28,Falcons,Linebacker,ILB,50,placeholder,78,83,10,72,7,89,59,76,72,24,80,25,10,10,16,30,21,16,58,72,8,49,37,99,53,5,95,48
h-01-1980-falcons-6.iff,114,falcons,1980,0,29,Falcons,Linebacker,ILB,58,placeholder,77,76,10,79,11,87,65,68,74,21,82,25,11,10,19,30,23,16,71,76,11,49,28,99,44,5,65,74
h-01-1980-falcons-6.iff,114,falcons,1980,0,30,Falcons,Linebacker,ILB,57,placeholder,75,87,13,67,16,77,83,70,60,22,71,30,11,11,24,23,26,10,58,65,15,49,31,99,45,5,47,24
h-01-1980-falcons-6.iff,114,falcons,1980,0,31,Falcons,Linebacker,ILB,67,placeholder,74,86,10,78,4,79,59,70,55,15,60,34,11,11,16,23,20,24,60,66,4,49,32,99,35,5,41,24
h-01-1980-falcons-6.iff,114,falcons,1980,0,32,Falcons,Linebacker,ILB,59,placeholder,67,64,10,79,9,81,75,61,49,13,61,33,11,11,21,27,22,28,64,60,5,49,61,99,28,5,45,24
h-01-1980-falcons-6.iff,114,falcons,1980,0,33,Falcons,Kicker,K,6,placeholder,35,46,11,53,94,90,37,44,30,32,42,32,14,11,42,38,33,28,41,36,97,99,32,50,80,5,64,41
h-01-1980-falcons-6.iff,114,falcons,1980,0,34,Falcons,Linebacker,OLB,56,placeholder,69,80,10,97,15,88,55,76,77,19,91,32,11,10,30,31,25,32,88,93,14,49,86,99,71,5,93,70
h-01-1980-falcons-6.iff,114,falcons,1980,0,35,Falcons,Linebacker,OLB,51,placeholder,81,83,10,81,9,57,51,79,76,20,75,24,11,10,20,28,19,20,52,74,10,49,32,99,45,5,89,73
h-01-1980-falcons-6.iff,114,falcons,1980,0,36,Falcons,Linebacker,OLB,55,placeholder,59,68,10,93,13,69,77,72,76,18,80,30,11,10,30,33,27,36,74,80,14,49,39,99,54,5,51,54
h-01-1980-falcons-6.iff,114,falcons,1980,0,37,Falcons,Linebacker,OLB,54,placeholder,79,79,10,77,6,83,65,81,56,19,66,33,11,11,13,22,17,22,61,69,4,49,33,99,24,5,22,66
h-01-1980-falcons-6.iff,114,falcons,1980,0,38,Falcons,Linebacker,OLB,53,placeholder,79,78,10,76,7,82,59,73,75,15,63,24,11,11,14,22,18,30,65,61,7,49,44,99,26,5,61,76
h-01-1980-falcons-6.iff,114,falcons,1980,0,39,Falcons,Punter,P,4,placeholder,45,46,20,48,94,95,35,37,23,27,41,18,23,24,15,20,16,16,22,12,89,1,32,50,90,5,92,23
h-01-1980-falcons-6.iff,114,falcons,1980,0,40,Falcons,Quarterback,QB,19,placeholder,66,64,93,50,9,84,43,56,26,21,31,22,93,96,21,30,28,29,20,22,13,49,92,50,78,30,85,24
h-01-1980-falcons-6.iff,114,falcons,1980,0,41,Falcons,Quarterback,QB,14,placeholder,81,91,92,28,23,45,18,73,14,29,29,51,65,60,28,13,10,28,11,5,21,49,75,50,55,67,33,24
h-01-1980-falcons-6.iff,114,falcons,1980,0,42,Falcons,Safety,SS,22,placeholder,84,84,10,91,16,47,61,68,72,30,79,8,11,11,14,22,18,47,55,77,19,49,77,1,59,5,93,79
h-01-1980-falcons-6.iff,114,falcons,1980,0,43,Falcons,Tackle,T,71,placeholder,44,48,11,83,19,95,69,41,15,31,36,19,10,11,26,95,99,13,30,28,18,49,88,99,85,5,95,48
h-01-1980-falcons-6.iff,114,falcons,1980,0,44,Falcons,Tackle,T,63,placeholder,43,56,11,86,19,94,69,41,15,29,29,20,10,10,26,92,92,13,30,28,18,49,80,99,69,5,76,49
h-01-1980-falcons-6.iff,114,falcons,1980,0,45,Falcons,Tackle,T,68,placeholder,55,50,12,80,10,70,65,39,9,41,32,43,13,11,30,56,69,22,30,32,13,49,44,99,31,5,8,8
h-01-1980-falcons-6.iff,114,falcons,1980,0,46,Falcons,Tight End,TE,80,placeholder,77,88,24,79,14,86,45,68,10,96,14,90,26,24,92,82,83,78,15,8,18,49,81,99,66,5,77,76
h-01-1980-falcons-6.iff,114,falcons,1980,0,47,Falcons,Tight End,TE,82,placeholder,64,71,10,46,8,76,55,67,9,52,12,32,11,12,77,73,75,65,14,14,11,49,31,99,37,5,29,23
h-01-1980-falcons-6.iff,114,falcons,1980,0,48,Falcons,Receiver,WR,89,placeholder,87,82,15,65,11,83,47,73,5,94,7,57,16,16,90,41,38,80,9,12,15,49,68,50,72,5,99,47
h-01-1980-falcons-6.iff,114,falcons,1980,0,49,Falcons,Receiver,WR,85,placeholder,84,83,15,74,12,58,47,67,14,83,10,60,16,15,84,47,46,78,15,10,16,49,58,50,61,5,95,55
h-01-1980-falcons-6.iff,114,falcons,1980,0,50,Falcons,Receiver,WR,84,placeholder,95,88,17,59,14,95,37,85,6,82,7,46,15,16,83,34,23,67,12,14,15,49,38,50,35,5,73,81
h-01-1980-falcons-6.iff,114,falcons,1980,0,51,Falcons,Receiver,WR,83,placeholder,90,88,22,59,14,86,29,87,6,57,7,25,25,24,70,45,39,67,12,14,15,49,38,50,34,5,90,52
h-01-1980-falcons-6.iff,114,falcons,1980,0,52,Falcons,Receiver,WR,13,placeholder,89,92,15,69,14,73,33,79,11,79,9,36,16,16,79,41,41,76,8,9,19,49,46,50,41,5,74,24
h-01-1998-falcons-1.iff,115,falcons,1998,0,0,Robbie,Tobeck,C,61,real_name_in_supplied_data,84,51,12,93,23,95,71,42,25,14,26,19,10,10,18,79,79,10,26,40,20,49,48,99,72,5,61,41
h-01-1998-falcons-1.iff,115,falcons,1998,0,1,Falcons,Center,C,65,placeholder,57,65,12,62,16,92,93,65,25,19,23,32,14,11,29,60,57,9,24,37,13,49,41,99,44,5,36,43
h-01-1998-falcons-1.iff,115,falcons,1998,0,2,Ray,Buchanan,CB,34,real_name_in_supplied_data,89,89,9,77,16,77,39,75,86,12,74,8,11,11,26,16,16,39,38,62,19,49,62,1,57,5,65,88
h-01-1998-falcons-1.iff,115,falcons,1998,0,3,Falcons,Cornerback,CB,26,placeholder,75,83,9,55,16,73,39,68,89,12,79,8,11,10,47,23,25,39,40,70,19,49,64,1,54,5,90,77
h-01-1998-falcons-1.iff,115,falcons,1998,0,4,Falcons,Cornerback,CB,29,placeholder,88,80,9,55,16,84,47,72,77,10,57,7,11,10,14,10,15,37,29,53,19,49,22,1,45,5,75,60
h-01-1998-falcons-1.iff,115,falcons,1998,0,5,Falcons,Cornerback,CB,20,placeholder,91,74,11,72,21,76,35,77,83,8,75,6,11,11,35,46,43,34,53,62,22,49,35,1,32,5,55,76
h-01-1998-falcons-1.iff,115,falcons,1998,0,6,Falcons,Cornerback,CB,21,placeholder,91,84,9,60,17,67,57,81,63,11,59,40,11,10,30,11,19,50,37,50,19,49,17,1,39,5,65,55
h-01-1998-falcons-1.iff,115,falcons,1998,0,7,Falcons,Cornerback,CB,23,placeholder,90,91,11,94,24,61,49,82,67,7,35,35,11,11,39,44,42,32,47,31,26,49,58,1,35,5,34,24
h-01-1998-falcons-1.iff,115,falcons,1998,0,8,Juran,Bolden,CB,43,real_name_in_supplied_data,86,81,13,86,16,78,45,81,64,10,76,6,13,11,39,27,28,43,46,60,19,49,42,1,29,5,34,56
h-01-1998-falcons-1.iff,115,falcons,1998,0,9,Falcons,Def End,DE,97,placeholder,91,88,11,60,15,79,51,82,41,25,90,33,13,11,22,21,26,12,94,83,17,49,69,99,50,5,79,85
h-01-1998-falcons-1.iff,115,falcons,1998,0,10,Falcons,Def End,DE,93,placeholder,68,75,10,60,15,86,61,78,62,19,86,34,11,11,23,27,27,20,90,78,19,49,29,99,54,5,74,64
h-01-1998-falcons-1.iff,115,falcons,1998,0,11,Falcons,Def End,DE,91,placeholder,61,69,11,73,24,50,75,58,21,18,79,32,11,10,28,33,28,16,73,76,23,49,62,99,63,5,27,24
h-01-1998-falcons-1.iff,115,falcons,1998,0,12,Falcons,Def End,DE,99,placeholder,66,77,10,67,19,80,71,55,58,23,72,35,11,11,27,26,34,18,71,64,19,49,34,99,42,5,29,24
h-01-1998-falcons-1.iff,115,falcons,1998,0,13,Falcons,Def Tackle,DT,75,placeholder,50,63,11,57,22,85,77,64,18,14,77,31,11,11,24,29,26,22,78,78,20,49,62,99,63,5,72,74
h-01-1998-falcons-1.iff,115,falcons,1998,0,14,Travis,Hall,DT,98,real_name_in_supplied_data,64,62,11,41,24,87,75,58,24,24,84,29,10,11,30,37,30,4,47,81,24,49,42,99,59,5,69,69
h-01-1998-falcons-1.iff,115,falcons,1998,0,15,Falcons,Def Tackle,DT,95,placeholder,43,58,11,44,22,88,61,45,20,20,73,28,10,10,23,32,25,2,61,77,21,49,28,99,25,5,69,74
h-01-1998-falcons-1.iff,115,falcons,1998,0,16,Falcons,Full Back,FB,45,placeholder,84,76,16,97,24,92,47,67,15,70,10,41,14,14,88,83,80,95,7,9,26,49,65,99,72,5,28,24
h-01-1998-falcons-1.iff,115,falcons,1998,0,17,Falcons,Full Back,FB,27,placeholder,77,82,16,82,19,84,59,55,9,58,9,58,14,15,59,75,74,78,13,6,20,49,57,99,56,5,24,73
h-01-1998-falcons-1.iff,115,falcons,1998,0,18,Falcons,Safety,FS,48,placeholder,84,85,10,93,20,87,41,70,77,13,80,9,11,10,26,22,24,40,44,72,23,49,50,1,58,5,63,68
h-01-1998-falcons-1.iff,115,falcons,1998,0,19,Falcons,Safety,FS,47,placeholder,84,78,8,94,24,80,53,73,66,10,61,7,10,10,31,29,35,37,40,50,26,49,48,1,48,5,33,56
h-01-1998-falcons-1.iff,115,falcons,1998,0,20,Falcons,Guard,G,63,placeholder,39,48,12,76,24,96,58,39,14,33,29,16,10,10,24,80,84,7,28,27,22,49,38,99,60,5,88,24
h-01-1998-falcons-1.iff,115,falcons,1998,0,21,Falcons,Guard,G,69,placeholder,50,51,12,71,19,94,63,48,6,24,22,9,10,10,10,76,87,8,16,27,15,49,69,99,56,5,49,42
