# match log for nfl2k5_retail_team_history.csv (nflverse-data (https://github.com/nflverse/nflverse-data), CC-BY-4.0)
# players with game seasons: 1325; exact: 835; last name + DOB: 313; ambiguous: 5; none: 172
# season rows: 5068 of 5867 have a team; per year: 1982: 1/1, 1983: 1/1, 1984: 1/1, 1985: 3/3, 1986: 4/4, 1987: 6/7, 1988: 10/12, 1989: 11/12, 1990: 15/17, 1991: 27/29, 1992: 40/44, 1993: 59/70, 1994: 94/109, 1995: 142/163, 1996: 216/243, 1997: 291/327, 1998: 376/421, 1999: 459/531, 2000: 580/678, 2001: 751/876, 2002: 929/1076, 2003: 1052/1242
   0 Duane Starks 1974-05-23: exact 00-0015577; covered [1998, 1999, 2000, 2001, 2002]; missing []
 130 T.J. Slaughter 1977-02-20: fallback_dob 00-0018959; covered [2000, 2001, 2002, 2003]; missing []
 131 Matt Stover 1968-01-27: fallback_dob 00-0015784; covered [1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 132 Terrell Suggs 1982-10-11: exact 00-0022161; covered [2003]; missing []
 133 Peter Boulware 1974-12-18: exact 00-0001544; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 134 Adalius Thomas 1977-08-18: exact 00-0019593; covered [2000, 2001, 2002, 2003]; missing []
 135 Cornell Brown 1975-03-15: exact 00-0001896; covered [1997, 1998, 1999, 2000, 2002, 2003]; missing []
 136 Dave Zastudil 1978-10-20: none; seasons [2002, 2003]
 137 Kyle Boller 1981-06-17: exact 00-0022164; covered [2003]; missing []
 138 Kordell Stewart 1972-10-16: exact 00-0015700; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 140 Anthony Wright 1976-02-14: exact 00-0018272; covered [2000, 2001, 2003]; missing []
 141 Edward Reed 1978-09-11: exact 00-0021377; covered [2002, 2003]; missing []
 142 Chad Williams 1979-01-22: exact 00-0021316; covered [2002, 2003]; missing []
 147 Todd Heap 1980-03-16: exact 00-0020516; covered [2001, 2002, 2003]; missing []
 148 Terry Jones 1979-12-03: exact 00-0021268; covered [2002, 2003]; missing []
 150 Kevin Johnson 1976-07-15: exact 00-0008560; covered [1999, 2000, 2001, 2002, 2003]; missing []
 151 Travis Taylor 1979-03-30: exact 00-0019721; covered [2000, 2001, 2002, 2003]; missing []
 153 Ron Johnson 1980-05-23: exact 00-0021242; covered [2002, 2003]; missing []
 158 Mike Solwold 1977-09-30: exact 00-0019894; covered [2001]; missing []
 159 Troy Vincent 1970-06-08: exact 00-0016924; covered [1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 160 Nate Clements 1979-12-12: fallback_dob 00-0020495; covered [2001, 2002, 2003]; missing []
 161 Kevin Thomas 1978-07-28: fallback_dob 00-0021289; covered [2002, 2003]; missing []
 162 Terrence McGee 1980-10-14: exact 00-0022008; covered [2003]; missing []
 163 Ryan Denney 1977-06-15: exact 00-0021189; covered [2002, 2003]; missing []
 164 Aaron Schobel 1977-04-01: none; seasons [2001, 2002, 2003]
 165 Chris Kelsay 1979-10-31: fallback_dob 00-0021995; covered [2003]; missing []
 166 Keith McKenzie 1973-10-17: exact 00-0010941; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 167 Sam Adams 1973-06-13: fallback_dob 00-0000065; covered [1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 168 Pat Williams 1972-10-24: fallback_dob 00-0017899; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 169 Ron Edwards 1979-07-12: fallback_dob 00-0020286; covered [2001, 2002, 2003]; missing []
 170 Justin Bannan 1979-04-18: exact 00-0021092; covered [2002, 2003]; missing []
 171 Oliver Gibson 1972-03-15: exact 00-0005939; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 173 Daimon Shelton 1972-09-15: exact 00-0014775; covered [1998, 1999, 2000, 2001, 2002]; missing [2003]
 174 Joe Burns 1979-09-15: exact 00-0020917; covered [2002, 2003]; missing []
 175 Izell Reese 1974-05-07: exact 00-0013536; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 176 Pierson Prioleau 1977-08-06: exact 00-0013255; covered [1999, 2000, 2001, 2002, 2003]; missing []
 180 Travis Henry 1979-10-29: none; seasons [2001, 2002, 2003]
 182 London Fletcher 1975-05-19: exact 00-0005322; covered [1998, 1999, 2001, 2002, 2003]; missing []; unmapped ['2000:LA (team code LA in 2000: ambiguous: use RAM (Rams) or RAI (Raiders))']
 183 Angelo Crowell 1981-08-16: exact 00-0022004; covered [2003]; missing []
 184 Rian Lindell 1977-01-20: exact 00-0019310; covered [2000, 2001, 2002, 2003]; missing []
 185 Jeff Posey 1975-08-14: fallback_dob 00-0013141; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 186 Takeo Spikes 1976-12-17: exact 00-0015474; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 187 Josh Stamer 1977-10-11: fallback_dob 00-0020139; covered [2003]; missing []
 188 Dominique Stevenson 1977-12-28: fallback_dob 00-0021359; covered [2002, 2003]; missing []
 189 Brian Moorman 1976-02-05: exact 00-0011626; covered [2001, 2002, 2003]; missing []
 190 Drew Bledsoe 1972-02-14: exact 00-0001361; covered [1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 192 Travis Brown 1977-07-17: exact 00-0019192; covered [2000, 2001, 2003]; missing []
 193 Lawyer Milloy 1973-11-14: exact 00-0011326; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 194 Coy Wire 1978-11-07: exact 00-0021222; covered [2002, 2003]; missing []
 199 Mark Campbell 1975-12-06: exact 00-0002586; covered [1999, 2000, 2002, 2003]; missing []
 200 Ryan Neufeld 1975-11-22: exact 00-0018578; covered [2000, 2003]; missing []
 202 Eric Moulds 1973-07-17: exact 00-0011770; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 204 Josh Reed 1980-05-01: fallback_dob 00-0021166; covered [2002, 2003]; missing []
 205 Bobby Shaw 1975-04-23: none; seasons [1999, 2000, 2001, 2002, 2003]
 206 Sam Aiken 1980-12-14: fallback_dob 00-0021915; covered [2003]; missing []
 208 Antonio Brown 1978-03-03: exact 00-0021425; covered [2003]; missing []
 212 Ricky Manning 1980-11-18: exact 00-0021900; covered [2003]; missing []
 213 Artrell Hawkins 1975-11-24: none; seasons [1998, 1999, 2000, 2001, 2002, 2003]
 215 Terrance Shaw 1973-11-11: exact 00-0014743; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 216 Dante Wesley 1979-04-05: exact 00-0021224; covered [2002, 2003]; missing []
 217 Julius Peppers 1980-01-18: exact 00-0021140; covered [2002, 2003]; missing []
 218 Mike Rucker 1975-02-28: fallback_dob 00-0014132; covered [1999, 2000, 2001, 2002, 2003]; missing []
 219 Kavika Pittman 1974-02-09: none; seasons [1996, 1997, 1998, 1999, 2000, 2001, 2002]
 220 Al Wallace 1974-03-25: fallback_dob 00-0017077; covered [1997, 1998, 2002, 2003]; missing []
 221 Kris Jenkins 1979-08-03: fallback_dob 00-0020380; covered [2001, 2002, 2003]; missing []
 222 Brentson Buckner 1971-09-30: exact 00-0002186; covered [1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 223 Kindal Moorehead 1978-10-14: exact 00-0022146; covered [2003]; missing []
 224 Shane Burton 1974-01-18: fallback_dob 00-0002365; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 226 Rod Walker 1976-02-04: fallback_dob 00-0017061; covered [2001, 2002, 2003]; missing []
 227 Brad Hoover 1976-11-11: fallback_dob 00-0019100; covered [2000, 2001, 2002, 2003]; missing []
 228 Nick Goings 1978-01-26: exact 00-0019831; covered [2001, 2002, 2003]; missing []
 229 Travares Tillman 1977-10-08: exact 00-0019656; covered [2000, 2001, 2003]; missing []
 230 Colin Branch 1980-03-02: exact 00-0022142; covered [2003]; missing []
 235 Stephen Davis 1974-03-01: exact 00-0004052; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 236 DeShaun Foster 1980-01-10: exact 00-0021164; covered [2002]; missing []
 237 Rod Smart 1977-01-09: fallback_dob 00-0019453; covered [2001, 2002, 2003]; missing []
 238 Dan Morgan 1978-12-19: fallback_dob 00-0020443; covered [2001, 2002, 2003]; missing []
 239 Jason Kyle 1972-05-12: exact 00-0009530; covered [1995, 1996, 1998, 2000, 2001, 2002, 2003]; missing []
 241 John Kasay 1969-10-27: exact 00-0009028; covered [1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 2003]; missing []
 242 Mark Fields 1972-11-09: exact 00-0005202; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]; missing []
 243 Will Witherspoon 1980-08-19: fallback_dob 00-0021085; covered [2002, 2003]; missing []
 244 Jessie Armstead 1970-10-26: exact 00-0000426; covered [1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 245 Brandon Short 1977-07-11: exact 00-0019669; covered [2000, 2001, 2002, 2003]; missing []
 246 Brian Allen 1978-04-01: exact 00-0020295; covered [2001, 2002, 2003]; missing []
 247 Todd Sauerbrun 1973-01-04: exact 00-0014377; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 248 Jake Delhomme 1975-01-10: exact 00-0004161; covered [1999, 2002, 2003]; missing []
 249 Rodney Peete 1966-03-16: exact 00-0012732; covered [1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 2003]; missing []
 250 Chris Weinke 1972-07-31: fallback_dob 00-0020434; covered [2001, 2002]; missing []
 251 Mike Minter 1974-01-15: fallback_dob 00-0011372; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 252 Jarrod Cooper 1978-03-31: exact 00-0020409; covered [2001, 2002, 2003]; missing []
 256 Kris Mangum 1973-08-15: exact 00-0010333; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 257 Mike Seidman 1981-02-11: fallback_dob 00-0022129; covered [2003]; missing []
 259 Muhsin Muhammad 1973-05-05: exact 00-0011795; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 260 Steve Smith 1979-05-12: fallback_dob 00-0020337; covered [2001, 2002, 2003]; missing []
 261 Ricky Proehl 1968-03-07: fallback_dob 00-0013268; covered [1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 2002, 2003]; missing []; unmapped ['1999:LA (team code LA in 1999: ambiguous: use RAM (Rams) or RAI (Raiders))', '2000:LA (team code LA in 2000: ambiguous: use RAM (Rams) or RAI (Raiders))', '2001:LA (team code LA in 2001: ambiguous: use RAM (Rams) or RAI (Raiders))']
 265 Charles Tillman 1981-02-23: exact 00-0022123; covered [2003]; missing []
 266 Jerry Azumah 1977-09-01: exact 00-0000559; covered [1999, 2000, 2001, 2002, 2003]; missing []
 267 R.W. McQuarters 1976-12-21: fallback_dob 00-0011053; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 268 Todd McMillon 1973-09-09: none; seasons [2002, 2003]
 271 Alex Brown 1979-06-04: exact 00-0021228; covered [2002, 2003]; missing []
 272 Michael Haynes 1980-09-13: exact 00-0022118; covered [2003]; missing []
 273 Joe Tafoya 1978-09-06: fallback_dob 00-0020402; covered [2001, 2002, 2003]; missing []
 276 Bryan Robinson 1974-06-22: exact 00-0013845; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 278 Alfonso Boone 1976-01-11: exact 00-0019626; covered [2001, 2002, 2003]; missing []
 279 Bryan Johnson 1978-01-18: exact 00-0019172; covered [2000, 2001, 2002, 2003]; missing []
 280 Jason McKie 1980-05-22: exact 00-0020805; covered [2003]; missing []
 281 Mike Brown 1978-02-13: fallback_dob 00-0019699; covered [2000, 2001, 2002, 2003]; missing []
 288 Thomas Jones 1978-08-19: exact 00-0019641; covered [2000, 2001, 2002, 2003]; missing []
 289 Anthony Thomas 1977-11-07: exact 00-0020403; covered [2001, 2002, 2003]; missing []
 290 Adrian Peterson 1979-07-01: exact 00-0021306; covered [2002, 2003]; missing []
 291 Brian Urlacher 1978-05-25: exact 00-0019456; covered [2000, 2001, 2002, 2003]; missing []
 292 Hunter Hillenmeyer 1980-10-28: exact 00-0021983; covered [2003]; missing []
 293 Paul Edinger 1978-01-17: exact 00-0019490; covered [2000, 2001, 2002, 2003]; missing []
 294 Lance Briggs 1980-11-12: exact 00-0022128; covered [2003]; missing []
 295 Joe Odom 1979-11-14: none; seasons [2003]
 296 Bryan Knight 1979-01-22: exact 00-0021278; covered [2002, 2003]; missing []
 298 Brad Maynard 1974-02-09: fallback_dob 00-0010609; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 299 Rex Grossman 1980-08-23: exact 00-0022121; covered [2003]; missing []
 300 Jonathan Quinn 1975-02-27: exact 00-0013338; covered [1998, 2000, 2001, 2002]; missing []
 302 Mike Green 1976-12-06: fallback_dob 00-0019509; covered [2000, 2001, 2002, 2003]; missing []
 303 Bobby Gray 1978-04-30: exact 00-0021256; covered [2002, 2003]; missing []
 308 Desmond Clark 1977-04-20: exact 00-0003035; covered [1999, 2000, 2001, 2002, 2003]; missing []
 310 David Terrell 1979-03-13: exact 00-0020513; covered [2001, 2002, 2003]; missing []
 311 Marty Booker 1976-07-31: exact 00-0001477; covered [1999, 2000, 2001, 2002, 2003]; missing []
 312 Justin Gage 1981-01-25: none; seasons [2003]
 314 Ahmad Merritt 1977-02-05: exact 00-0019510; covered [2001, 2002, 2003]; missing []
 315 Bobby Wade 1981-02-25: fallback_dob 00-0022144; covered [2003]; missing []
 318 Deltha O'Neal 1977-01-30: exact 00-0019645; covered [2000, 2001, 2002, 2003]; missing []
 319 Tory James 1973-05-18: exact 00-0008265; covered [1996, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 320 Terrell Roberts 1981-04-07: exact 00-0021630; covered [2003]; missing []
 323 Duane Clemons 1974-05-23: exact 00-0003112; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 324 Justin Smith 1979-09-30: exact 00-0020535; covered [2001, 2002, 2003]; missing []
 325 Carl Powell 1974-01-04: exact 00-0013162; covered [1997, 2000, 2001, 2002, 2003]; missing []
 327 Daryl Gardener 1973-02-25: exact 00-0005760; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 328 John Thornton 1976-10-02: exact 00-0016431; covered [1999, 2000, 2001, 2002, 2003]; missing []
 329 Tony Williams 1975-07-09: exact 00-0017945; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 331 Jeremi Johnson 1980-09-04: exact 00-0022141; covered [2003]; missing []
 333 Kim Herring 1975-09-10: fallback_dob 00-0007334; covered [1997, 1998, 1999, 2000, 2001, 2002]; missing []
 334 Kevin Kaesviharn 1976-08-29: exact 00-0019993; covered [2001, 2002, 2003]; missing []
 338 Rudi Johnson 1979-10-01: exact 00-0020407; covered [2001, 2002, 2003]; missing []
 340 Kenny Watson 1978-03-13: fallback_dob 00-0019808; covered [2002]; missing []
 341 Nate Webster 1977-11-29: fallback_dob 00-0019562; covered [2000, 2001, 2002, 2003]; missing []
 342 Frank Chamberlin 1978-01-02: exact 00-0019570; covered [2000, 2001, 2002, 2003]; missing []
 344 Shayne Graham 1977-12-09: fallback_dob 00-0019536; covered [2001, 2002, 2003]; missing []
 345 Kevin Hardy 1973-07-24: exact 00-0006843; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 346 Brian Simmons 1975-06-21: exact 00-0014891; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 347 Adrian Ross 1975-02-19: exact 00-0014051; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 349 Kyle Richardson 1973-03-02: exact 00-0013682; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 351 Jon Kitna 1972-09-21: exact 00-0009311; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 353 Rogers Beckett 1977-01-31: exact 00-0019701; covered [2000, 2001, 2002, 2003]; missing []
 359 Reggie Kelly 1977-02-22: fallback_dob 00-0009119; covered [2000, 2001, 2002, 2003]; missing []
 360 Tony Stewart 1979-08-09: exact 00-0020268; covered [2001, 2002, 2003]; missing []
 361 Matt Schobel 1978-11-04: fallback_dob 00-0021084; covered [2002, 2003]; missing []
 362 Brad St. Louis 1976-08-19: exact 00-0019681; covered [2000, 2001, 2002]; missing []
 363 Peter Warrick 1977-06-19: exact 00-0019455; covered [2000, 2001, 2002, 2003]; missing []
 364 Chad Johnson 1978-01-09: exact 00-0020397; covered [2001, 2002, 2003]; missing []
 365 Kelley Washington 1979-08-21: fallback_dob 00-0022171; covered [2003]; missing []
 366 T.J. Houshmandzadeh 1977-09-26: fallback_dob 00-0020438; covered [2001, 2002]; missing []
 367 Pat Johnson 1976-08-10: fallback_dob 00-0008598; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
 371 Terence Newman 1978-09-04: exact 00-0022045; covered [2003]; missing []
 372 Pete Hunter 1980-05-25: fallback_dob 00-0021281; covered [2002]; missing []
 373 Donald Mitchell 1976-12-14: exact 00-0011407; covered [1999, 2001, 2002]; missing []
