# ESPN NFL 2K5 generated-player name pool: modern first names and surnames (tier B).
# Source: nflverse-data (https://github.com/nflverse/nflverse-data), CC-BY-4.0 - players.parquet, every player with a season in 2015-2025 (8258 players).
# Generated by tools/nfl2k5_modern_names_generate.py on 2026-09-04 from players.parquet (sha256 94d95824be12cc0f...).
# 433 surnames keep their retail index and recorded call-out (audio = retail); 52 take modern surnames and are announced by number (audio = number); every first name is modern.
# Pool bytes: 13238 of 13238 (UTF-16LE with terminators); boundary body offset 0x8cfaa.
index,first,last,audio
162,Douglas,Berry,retail
163,Drake,Matthews,retail
164,Jaylon,Arnold,retail
165,Jimmy,Wagner,retail
166,Lance,Willis,retail
167,Larry,Ray,retail
168,Marvin,Watkins,retail
169,Maurice,Olson,retail
170,Max,Carroll,retail
171,Phillip,Mathews,number
172,Reginald,Duncan,retail
173,Ricky,Snyder,retail
174,Ronnie,Hart,retail
175,Shaun,Cunningham,retail
176,Terrance,Bradley,retail
177,Akeem,Lane,retail
178,Allen,Andrews,retail
179,Carl,Milton,number
180,Cooper,Harper,retail
181,Cory,Fox,retail
182,Dan,Riley,retail
183,Dante,Armstrong,retail
184,Darryl,Carpenter,retail
185,DeAndre,Weaver,retail
186,Demetrius,Greene,retail
187,Deon,Lawrence,retail
188,Devon,Elliott,retail
189,Dillon,Newsome,number
190,Dorian,Sims,retail
191,Earl,Austin,retail
192,Edward,Peters,retail
193,Erik,Kelley,retail
194,Grant,Franklin,retail
195,Greg,Lawson,retail
196,Jamal,Fields,retail
197,Johnny,Ryan,retail
198,Julius,Schmidt,retail
199,Leonard,Carr,retail
200,Lorenzo,Wheeler,retail
201,Lucas,Chapman,retail
202,Miles,Oliver,retail
203,Rashad,Montgomery,retail
204,Reggie,Richards,retail
205,Riley,Williamson,retail
206,Roderick,Johnston,retail
207,Seth,Banks,retail
208,Shane,Meyer,retail
209,Ty,Bishop,retail
210,Alvin,McCoy,retail
211,Amari,Howell,retail
212,Antoine,Prince,number
213,Arthur,Morrison,retail
214,Colin,Hansen,retail
215,DJ,Harvey,retail
216,Denzel,Little,retail
217,Dwayne,Burton,retail
218,Gabriel,Stanley,retail
219,Ian,George,retail
220,Jay,Jacobs,retail
221,Jerome,Reid,retail
222,Joel,Kim,retail
223,Jonah,Fuller,retail
224,Josiah,Lynch,retail
225,Keenan,Dean,retail
226,Louis,Gilbert,retail
227,Marlon,Garrett,retail
228,Quincy,Larson,retail
229,Raymond,Rush,number
230,Sebastian,Welch,retail
231,Trent,Frazier,retail
232,Tyrone,Burke,retail
233,Alec,Hanson,retail
234,Beau,Day,retail
235,Cade,Strong,number
236,Carter,Winston,number
237,Charlie,Bowman,retail
238,Colby,Battle,number
239,Damien,Fowler,retail
240,Deion,Brewer,retail
241,Dexter,Hoffman,retail
242,Donte,Carlson,retail
243,Eli,Blackmon,number
244,Gerald,Pearson,retail
245,Harrison,Holland,retail
246,Jacoby,Douglas,retail
247,Jeffery,Fleming,retail
248,Jerry,Jensen,retail
249,Kaleb,Boykin,number
250,Kendrick,Byrd,retail
251,Kyler,Davidson,retail
252,Landon,Hopkins,retail
253,Leon,May,retail
254,Mario,Terry,retail
255,Marquez,Bullock,number
256,Nolan,Wade,retail
257,Rashard,Clemons,number
258,Russell,Cleveland,number
259,Shaquille,Walters,retail
260,Shemar,Curtis,retail
261,T.J.,Neal,retail
262,Terry,Caldwell,retail
263,Theodore,Lowe,retail
264,Trevon,Jennings,retail
265,Vernon,Barnett,retail
266,Walter,Graves,retail
267,Wyatt,Crockett,number
268,Ahmad,Horton,retail
269,Albert,Shelton,retail
270,Avery,Barrett,retail
271,Brent,O'Brien,retail
272,Clayton,Dickerson,number
273,Colton,Sutton,retail
274,Cornelius,Gregory,retail
275,Dallas,McKinney,retail
276,Damon,Lucas,retail
277,Darnell,Miles,retail
278,Daryl,Craig,retail
279,Davis,Chambers,retail
280,DeMarcus,Holt,retail
281,Deonte,Lambert,retail
282,Dion,Fletcher,retail
283,Eugene,Watts,retail
284,Ezekiel,Bates,retail
285,Francis,Hale,retail
286,Frederick,Rhodes,retail
287,Jaden,Dillon,number
288,Jarrod,Beck,retail
289,Jarvis,Newman,retail
290,Jayden,Haynes,retail
291,Jeff,McDaniel,retail
292,Jesse,Dotson,number
293,Jonathon,Bush,retail
294,Kameron,Vaughn,retail
295,Kellen,Parks,retail
296,Kenny,Dawson,retail
297,Khalil,Dunbar,number
298,Kristian,Norris,retail
299,Lamar,Hardy,retail
300,Liam,Love,retail
301,Markus,Steele,retail
302,Marquis,Curry,retail
303,Marquise,Powers,retail
304,Maxwell,Schultz,retail
305,Mekhi,Barker,retail
306,Nicolas,Durant,number
307,Orlando,Page,retail
308,Quentin,Elliss,number
309,Randall,Ball,retail
310,Ricardo,Keller,retail
311,Sterling,Chandler,retail
312,Tevin,Weber,retail
313,Tim,Leonard,retail
314,Tyree,Walsh,retail
315,Wesley,Lyons,retail
316,Alfred,Ramsey,retail
317,Armani,Wolfe,retail
318,Ashton,Schneider,retail
319,Brady,Mullins,retail
320,Braxton,Benson,retail
321,Brenden,Sharp,retail
322,Bryson,Bowen,retail
323,C.J.,Daniel,retail
324,Cedrick,Barber,retail
325,Collin,Cummings,retail
326,D.J.,Hines,retail
327,Damion,Baldwin,retail
328,Dane,Griffith,retail
329,Darian,Fant,number
330,Darrin,Hubbard,retail
331,Davon,Felton,number
332,DeAngelo,Reeves,retail
333,Don,Warner,retail
334,Duke,Stevenson,retail
335,Dustin,Burgess,retail
336,Dwight,Gay,number
337,Eddie,Tate,retail
338,Edwin,Cross,retail
339,Gary,Garner,retail
340,Gavin,Mann,retail
341,Glenn,Mack,retail
342,Graham,Moss,retail
343,Harold,Thornton,retail
344,Hayden,Dennis,retail
345,Isiah,McGee,retail
346,J.J.,Farmer,retail
347,Jace,Hairston,number
348,Jalin,Heath,number
349,Jamaal,Herron,number
350,Jarrett,Glover,retail
351,Jaylin,Manning,retail
352,Jon,Cohen,retail
353,Junior,Harmon,retail
354,K.J.,Rodgers,retail
355,Kareem,Robbins,retail
356,Kingsley,Newton,retail
357,Levi,Todd,retail
358,Malachi,Blair,retail
359,Marcel,Higgins,retail
360,Marques,Ingram,retail
361,Marshall,Reese,retail
362,Mohamed,Cannon,retail
363,Morgan,Strickland,retail
364,Najee,Townsend,retail
365,Omar,Potter,retail
366,Owen,Goodwin,retail
367,Peter,Walton,retail
368,Phil,Rowe,retail
369,Philip,Hampton,retail
370,Prince,Hightower,number
371,Quinn,Patton,retail
372,Rashaan,Swanson,retail
373,Rico,Joseph,retail
374,Roger,Francis,retail
375,Roy,Goodman,retail
376,Shawn,Yates,retail
377,Sheldon,Becker,retail
378,Sione,Erickson,retail
379,Solomon,Hodges,retail
380,Tariq,Conner,retail
381,Tavon,Adkins,retail
382,Todd,Webster,retail
383,Tucker,Norman,retail
384,Tyrell,Malone,retail
385,Tyson,Hammond,retail
386,Victor,Flowers,retail
387,Winston,Cobb,retail
388,Zackary,Moody,retail
389,Zaire,Quinn,retail
390,A.J.,Blake,retail
391,Aidan,Maxwell,retail
392,Alan,Pope,retail
393,Alijah,Floyd,retail
394,Alonzo,Osborne,retail
395,Amani,Paul,retail
396,Anfernee,McCarthy,retail
397,Barry,Hinton,number
398,Bennett,Lindsey,retail
399,Bennie,Humphrey,number
400,Bill,Huntley,number
401,Braden,Gibbs,retail
402,Branden,Tyler,retail
403,Brandin,Gross,retail
404,Branson,Fitzgerald,retail
405,Brayden,Stokes,retail
406,Brennan,Doyle,retail
407,Brenton,Sherman,retail
408,Broderick,Saunders,retail
409,Bryant,Wise,retail
410,Chance,Irving,number
411,Channing,Gill,retail
412,Chauncey,Kamara,number
413,Clarence,Greer,retail
414,Terence,Lovett,number
415,Brycen,Simon,retail
416,Elias,Waters,retail
417,Stanley,Mays,number
418,Kris,Ballard,retail
419,Brevin,Schwartz,retail
420,Deone,McBride,retail
421,Blaine,Houston,retail
422,Ade,Klein,retail
423,Quintin,Pratt,retail
424,Bailey,Briggs,retail
425,Arnold,Parsons,retail
426,DaRon,Mclaughlin,retail
427,Wes,Zimmerman,retail
428,Kirk,French,retail
429,Cyrus,Buchanan,retail
430,Antony,Moran,retail
431,Antone,Copeland,retail
432,Conor,Roy,retail
433,Warren,Pittman,retail
434,Quenton,Brady,retail
435,Tyreek,McCormick,retail
436,TJ,Holloway,retail
437,Clark,Brock,retail
438,Chuck,Poole,retail
439,Caden,Frank,retail
440,Brice,Logan,retail
441,Blair,Owen,retail
442,Billy,Bass,retail
443,Keon,Marsh,retail
444,Bilal,Drake,retail
445,Kent,Jefferson,retail
446,Jude,Park,retail
447,JoJo,Morton,retail
448,Azeez,Abbott,retail
449,Fred,Sparks,retail
450,Arian,Patrick,retail
451,Ameer,Norton,retail
452,Alton,Huff,retail
453,Rod,Clayton,retail
454,Drue,Massey,retail
455,Ray,Lloyd,retail
456,Sergio,McCain,number
457,Clay,Carson,retail
458,Cary,Bowers,retail
459,Brad,Roberson,retail
460,Asim,Barton,retail
461,Kai,Lamb,retail
462,Ajani,Harrington,retail
463,Andy,Casey,retail
464,Dom,Boone,retail
465,Abdul,Clarke,retail
466,Preston,Mathis,retail
467,JJ,Singleton,retail
468,Zion,Wilkins,retail
469,Tyron,Cain,retail
470,Zane,Bryan,retail
471,Rashod,Underwood,retail
472,Tracy,Hogan,retail
473,Stacy,McKenzie,retail
474,Zack,Collier,retail
475,Tory,Phelps,retail
476,Dax,McGuire,retail
477,Silas,Allison,retail
478,Bo,Bridges,retail
479,Sage,Wilkerson,retail
480,AJ,Nash,retail
481,Royce,Summers,retail
482,Reid,Atkins,retail
483,Ramon,McClain,number
484,R.J.,McDermott,number
