# NFL 2K5 retail roster team history: the real club of every past season the retail roster carries stats for.
# Source: nflverse-data (https://github.com/nflverse/nflverse-data), CC-BY-4.0 - rosters 1982-2003, weekly rosters 2002-2003, player stats 1999-2003, players.
# Generated 2026-09-03 by tools/nfl2k5_team_history_from_nflverse.py; matched 1148 of 1325 retail players, 5068 of 5867 season rows.
# Team codes are the 2004 roster abbreviations (relocated franchises resolved by season: Oilers -> TEN, LA Raiders -> OAK, ...).
# Columns: last_name, first_name, birth_date (YYYY-MM-DD), season, team, position, roster_index (only where two retail records share the identity), source.
# Lines starting with # are comments.
last_name,first_name,birth_date,season,team,position,roster_index,source
Andersen,Morten,1960-08-19,1989,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1990,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1991,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1992,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1993,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1994,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1995,ATL,K,,nflverse ATL
Andersen,Morten,1960-08-19,1996,ATL,K,,nflverse ATL
Andersen,Morten,1960-08-19,1997,ATL,K,,nflverse ATL
Andersen,Morten,1960-08-19,1998,ATL,K,,nflverse ATL
Andersen,Morten,1960-08-19,1999,ATL,K,,nflverse ATL
Andersen,Morten,1960-08-19,2000,ATL,K,,nflverse ATL
Andersen,Morten,1960-08-19,2001,NYG,K,,nflverse NYG
Andersen,Morten,1960-08-19,2002,KC,K,,nflverse KC
Andersen,Morten,1960-08-19,2003,KC,K,,nflverse KC
Anderson,Damien,1979-07-17,2002,ARZ,RB,,nflverse ARZ
Anderson,Damien,1979-07-17,2003,ARZ,RB,,nflverse ARZ
Anderson,Marques,1979-05-26,2002,GB,SS,,nflverse GB
Anderson,Marques,1979-05-26,2003,GB,SS,,nflverse GB
Anderson,Richie,1971-09-13,1993,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,1994,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,1995,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,1996,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,1997,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,1998,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,1999,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,2000,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,2001,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,2002,NYJ,FB,,nflverse NYJ
Anderson,Richie,1971-09-13,2003,DAL,FB,,nflverse DAL
Anderson,Scotty,1979-11-24,2001,DET,WR,,nflverse DET
Anderson,Scotty,1979-11-24,2002,DET,WR,,nflverse DET
Anderson,Scotty,1979-11-24,2003,DET,WR,,nflverse DET
Angulo,Richard,1980-08-13,2003,MIN,TE,,nflverse MIN
Archuleta,Adam,1977-11-27,2001,STL,SS,,nflverse STL
Archuleta,Adam,1977-11-27,2002,STL,SS,,nflverse SL
Archuleta,Adam,1977-11-27,2003,STL,SS,,nflverse SL
Armstead,Jessie,1970-10-26,1993,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,1994,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,1995,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,1996,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,1997,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,1998,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,1999,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,2000,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,2001,NYG,OLB,,nflverse NYG
Armstead,Jessie,1970-10-26,2002,WAS,OLB,,nflverse WAS
Armstead,Jessie,1970-10-26,2003,WAS,OLB,,nflverse WAS
Arrington,LaVar,1978-06-20,2000,WAS,OLB,,nflverse WAS
Arrington,LaVar,1978-06-20,2001,WAS,OLB,,nflverse WAS
Arrington,LaVar,1978-06-20,2003,WAS,OLB,,nflverse WAS
Atkins,James,1978-06-23,2002,TEN,DT,,nflverse TEN
Ayanbadejo,Obafemi,1975-03-05,1999,BAL,FB,,nflverse BAL
Ayanbadejo,Obafemi,1975-03-05,2000,BAL,FB,,nflverse BAL
Ayanbadejo,Obafemi,1975-03-05,2001,BAL,FB,,nflverse BAL
Ayanbadejo,Obafemi,1975-03-05,2003,MIA,FB,,nflverse MIA
Ayodele,Akin,1979-09-17,2002,JAX,OLB,,nflverse JAX
Ayodele,Akin,1979-09-17,2003,JAX,OLB,,nflverse JAX
Azumah,Jerry,1977-09-01,1999,CHI,CB,,nflverse CHI
Azumah,Jerry,1977-09-01,2000,CHI,CB,,nflverse CHI
Azumah,Jerry,1977-09-01,2001,CHI,CB,,nflverse CHI
Azumah,Jerry,1977-09-01,2002,CHI,CB,,nflverse CHI
Azumah,Jerry,1977-09-01,2003,CHI,CB,,nflverse CHI
Babers,Roderick,1980-10-06,2003,DET,CB,,nflverse DET
Bailey,Boss,1979-10-14,2003,DET,OLB,,nflverse DET
Bailey,Rodney,1979-10-07,2001,PIT,DE,,nflverse PIT
Bailey,Rodney,1979-10-07,2002,PIT,DE,,nflverse PIT
Bailey,Rodney,1979-10-07,2003,PIT,DE,,nflverse PIT
Baker,Chris,1979-11-18,2002,NYJ,TE,,nflverse NYJ
Baker,Chris,1979-11-18,2003,NYJ,TE,,nflverse NYJ
Baker,Jason,1978-05-17,2001,SF,P,,nflverse SF
Baker,Jason,1978-05-17,2002,PHI,P,,nflverse PHI
Baker,Jason,1978-05-17,2003,KC,P,,nflverse KC
Banks,Tony,1973-04-05,1996,STL,QB,,nflverse STL
Banks,Tony,1973-04-05,1997,STL,QB,,nflverse STL
Banks,Tony,1973-04-05,1998,STL,QB,,nflverse STL
Banks,Tony,1973-04-05,1999,BAL,QB,,nflverse BAL
Banks,Tony,1973-04-05,2000,BAL,QB,,nflverse BAL
Banks,Tony,1973-04-05,2001,WAS,QB,,nflverse WAS
Banks,Tony,1973-04-05,2003,HOU,QB,,nflverse HST
Bannan,Justin,1979-04-18,2002,BUF,DT,,nflverse BUF
Bannan,Justin,1979-04-18,2003,BUF,DT,,nflverse BUF
Bannister,Alex,1979-04-23,2001,SEA,WR,,nflverse SEA
Bannister,Alex,1979-04-23,2002,SEA,WR,,nflverse SEA
Bannister,Alex,1979-04-23,2003,SEA,WR,,nflverse SEA
Banta,Brad,1970-12-14,1994,IND,TE,,nflverse IND
Banta,Brad,1970-12-14,1995,IND,TE,,nflverse IND
Banta,Brad,1970-12-14,1996,IND,TE,,nflverse IND
Banta,Brad,1970-12-14,1997,IND,TE,,nflverse IND
Banta,Brad,1970-12-14,1998,IND,TE,,nflverse IND
Banta,Brad,1970-12-14,1999,IND,TE,,nflverse IND
Banta,Brad,1970-12-14,2000,NYJ,TE,,nflverse NYJ
Banta,Brad,1970-12-14,2001,DET,TE,,nflverse DET
Banta,Brad,1970-12-14,2002,DET,TE,,nflverse DET
Banta-Cain,Tully,1980-08-28,2003,NE,OLB,,nflverse NE
Barber,Shawn,1975-01-14,1998,WAS,OLB,,nflverse WAS
Barber,Shawn,1975-01-14,1999,WAS,OLB,,nflverse WAS
Barber,Shawn,1975-01-14,2000,WAS,OLB,,nflverse WAS
Barber,Shawn,1975-01-14,2001,WAS,OLB,,nflverse WAS
Barber,Shawn,1975-01-14,2002,PHI,OLB,,nflverse PHI
Barber,Shawn,1975-01-14,2003,KC,OLB,,nflverse KC
Barlow,Kevan,1979-01-07,2001,SF,RB,,nflverse SF
Barlow,Kevan,1979-01-07,2002,SF,RB,,nflverse SF
Barlow,Kevan,1979-01-07,2003,SF,RB,,nflverse SF
Barnard,Brooks,1979-11-04,2003,CHI,P,,nflverse CHI
Barnes,Lionel,1976-04-19,2000,IND,DE,,nflverse IND
Barnes,Lionel,1976-04-19,2001,IND,DE,,nflverse IND
Barnes,Lionel,1976-04-19,2003,JAX,DE,,nflverse JAX
Barnett,Nick,1981-05-27,2003,GB,ILB,,nflverse GB
Barrett,David,1977-12-22,2000,ARZ,CB,,nflverse ARI
Barrett,David,1977-12-22,2001,ARZ,CB,,nflverse ARI
Barrett,David,1977-12-22,2002,ARZ,CB,,nflverse ARZ
Barrett,David,1977-12-22,2003,ARZ,CB,,nflverse ARZ
Bartee,William,1977-06-25,2000,KC,CB,,nflverse KC
Bartee,William,1977-06-25,2001,KC,CB,,nflverse KC
Bartee,William,1977-06-25,2002,KC,CB,,nflverse KC
Bartee,William,1977-06-25,2003,KC,CB,,nflverse KC
Barton,Eric,1977-09-29,1999,OAK,OLB,,nflverse OAK
Barton,Eric,1977-09-29,2000,OAK,OLB,,nflverse OAK
Barton,Eric,1977-09-29,2001,OAK,OLB,,nflverse OAK
Barton,Eric,1977-09-29,2002,OAK,OLB,,nflverse OAK
Barton,Eric,1977-09-29,2003,OAK,OLB,,nflverse OAK
Bartrum,Mike,1970-06-23,1993,KC,TE,,nflverse KC
Bartrum,Mike,1970-06-23,1995,GB,TE,,nflverse GB
Bartrum,Mike,1970-06-23,1996,NE,TE,,nflverse NE
Bartrum,Mike,1970-06-23,1997,NE,TE,,nflverse NE
Bartrum,Mike,1970-06-23,1998,NE,TE,,nflverse NE
Bartrum,Mike,1970-06-23,1999,NE,TE,,nflverse NE
Bartrum,Mike,1970-06-23,2000,PHI,TE,,nflverse PHI
Bartrum,Mike,1970-06-23,2001,PHI,TE,,nflverse PHI
Bartrum,Mike,1970-06-23,2002,PHI,TE,,nflverse PHI
Bartrum,Mike,1970-06-23,2003,PHI,TE,,nflverse PHI
Bashir,Idrees,1978-12-07,2001,IND,FS,,nflverse IND
Bashir,Idrees,1978-12-07,2002,IND,FS,,nflverse IND
Bashir,Idrees,1978-12-07,2003,IND,FS,,nflverse IND
Batch,Charlie,1974-12-05,1998,DET,QB,,nflverse DET
Batch,Charlie,1974-12-05,1999,DET,QB,,nflverse DET
Batch,Charlie,1974-12-05,2000,DET,QB,,nflverse DET
Batch,Charlie,1974-12-05,2001,DET,QB,,nflverse DET
Batch,Charlie,1974-12-05,2003,PIT,QB,,nflverse PIT
Bates,D'Wayne,1975-12-04,1999,CHI,WR,,nflverse CHI
Bates,D'Wayne,1975-12-04,2000,CHI,WR,,nflverse CHI
Bates,D'Wayne,1975-12-04,2001,CHI,WR,,nflverse CHI
Bates,D'Wayne,1975-12-04,2002,MIN,WR,,nflverse MIN
Bates,D'Wayne,1975-12-04,2003,MIN,WR,,nflverse MIN
Bates,Solomon,1982-04-18,2003,SEA,ILB,,nflverse SEA
Battle,Arnaz,1980-02-22,2003,SF,WR,,nflverse SF
Battle,Julian,1981-07-11,2003,KC,CB,,nflverse KC
Bauman,Rashad,1979-05-07,2002,WAS,CB,,nflverse WAS
Bauman,Rashad,1979-05-07,2003,WAS,CB,,nflverse WAS
Baxter,Gary,1978-11-24,2001,BAL,CB,,nflverse BAL
Baxter,Gary,1978-11-24,2002,BAL,CB,,nflverse BLT
Baxter,Gary,1978-11-24,2003,BAL,CB,,nflverse BLT
Baxter,Jarrod,1979-03-09,2002,HOU,FB,,nflverse HST
Beasley,Aaron,1973-07-07,1996,JAX,CB,,nflverse JAX
Beasley,Aaron,1973-07-07,1997,JAX,CB,,nflverse JAX
Beasley,Aaron,1973-07-07,1998,JAX,CB,,nflverse JAX
Beasley,Aaron,1973-07-07,1999,JAX,CB,,nflverse JAX
Beasley,Aaron,1973-07-07,2000,JAX,CB,,nflverse JAX
Beasley,Aaron,1973-07-07,2001,JAX,CB,,nflverse JAX
Beasley,Aaron,1973-07-07,2002,NYJ,CB,,nflverse NYJ
Beasley,Aaron,1973-07-07,2003,NYJ,CB,,nflverse NYJ
Becht,Anthony,1977-08-08,2000,NYJ,TE,,nflverse NYJ
Becht,Anthony,1977-08-08,2001,NYJ,TE,,nflverse NYJ
Becht,Anthony,1977-08-08,2002,NYJ,TE,,nflverse NYJ
Becht,Anthony,1977-08-08,2003,NYJ,TE,,nflverse NYJ
Beckett,Rogers,1977-01-31,2000,SD,SS,,nflverse SD
Beckett,Rogers,1977-01-31,2001,SD,SS,,nflverse SD
Beckett,Rogers,1977-01-31,2002,SD,SS,,nflverse SD
Beckett,Rogers,1977-01-31,2003,CIN,SS,,nflverse CIN
Beckham,Tony,1978-10-01,2002,TEN,CB,,nflverse TEN
Beckham,Tony,1978-10-01,2003,TEN,CB,,nflverse TEN
Beisel,Monty,1978-08-20,2001,KC,OLB,,nflverse KC
Beisel,Monty,1978-08-20,2002,KC,OLB,,nflverse KC
Beisel,Monty,1978-08-20,2003,KC,OLB,,nflverse KC
Bell,Jason,1978-04-01,2001,DAL,CB,,nflverse DAL
Bell,Jason,1978-04-01,2002,HOU,CB,,nflverse HST
Bell,Jason,1978-04-01,2003,HOU,CB,,nflverse HST
Bell,Marcus,1979-06-01,2001,ARZ,DT,,nflverse ARI
Bell,Marcus,1977-07-19,2001,SEA,ILB,,nflverse SEA
Bell,Marcus,1979-06-01,2002,ARZ,DT,,nflverse ARZ
Bell,Marcus,1977-07-19,2002,SEA,ILB,,nflverse SEA
Bell,Marcus,1979-06-01,2003,ARZ,DT,,nflverse ARZ
Bellamy,Jay,1972-07-08,1994,SEA,SS,,nflverse SEA
Bellamy,Jay,1972-07-08,1995,SEA,SS,,nflverse SEA
Bellamy,Jay,1972-07-08,1996,SEA,SS,,nflverse SEA
Bellamy,Jay,1972-07-08,1997,SEA,SS,,nflverse SEA
Bellamy,Jay,1972-07-08,1998,SEA,SS,,nflverse SEA
Bellamy,Jay,1972-07-08,1999,SEA,SS,,nflverse SEA
Bellamy,Jay,1972-07-08,2000,SEA,SS,,nflverse SEA
Bellamy,Jay,1972-07-08,2001,NO,SS,,nflverse NO
Bellamy,Jay,1972-07-08,2002,NO,SS,,nflverse NO
Bellamy,Jay,1972-07-08,2003,NO,SS,,nflverse NO
Bennett,Brandon,1973-02-03,1998,CIN,RB,,nflverse CIN
Bennett,Brandon,1973-02-03,2000,CIN,RB,,nflverse CIN
Bennett,Brandon,1973-02-03,2001,CIN,RB,,nflverse CIN
Bennett,Brandon,1973-02-03,2002,CIN,RB,,nflverse CIN
Bennett,Brandon,1973-02-03,2003,CIN,RB,,nflverse CIN
Bennett,Darren,1965-01-09,1995,SD,P,,nflverse SD
Bennett,Darren,1965-01-09,1996,SD,P,,nflverse SD
Bennett,Darren,1965-01-09,1997,SD,P,,nflverse SD
Bennett,Darren,1965-01-09,1998,SD,P,,nflverse SD
Bennett,Darren,1965-01-09,1999,SD,P,,nflverse LAC
Bennett,Darren,1965-01-09,2000,SD,P,,nflverse SD
Bennett,Darren,1965-01-09,2001,SD,P,,nflverse SD
Bennett,Darren,1965-01-09,2002,SD,P,,nflverse SD
Bennett,Darren,1965-01-09,2003,SD,P,,nflverse SD
Bennett,Drew,1978-08-26,2001,TEN,WR,,nflverse TEN
Bennett,Drew,1978-08-26,2002,TEN,WR,,nflverse TEN
Bennett,Drew,1978-08-26,2003,TEN,WR,,nflverse TEN
Bennett,Michael,1978-08-13,2001,MIN,RB,,nflverse MIN
Bennett,Michael,1978-08-13,2002,MIN,RB,,nflverse MIN
Bennett,Michael,1978-08-13,2003,MIN,RB,,nflverse MIN
Berger,Mitch,1972-06-24,1994,PHI,P,,nflverse PHI
Berger,Mitch,1972-06-24,1996,MIN,P,,nflverse MIN
Berger,Mitch,1972-06-24,1997,MIN,P,,nflverse MIN
Berger,Mitch,1972-06-24,1998,MIN,P,,nflverse MIN
Berger,Mitch,1972-06-24,1999,MIN,P,,nflverse MIN
Berger,Mitch,1972-06-24,2000,MIN,P,,nflverse MIN
Berger,Mitch,1972-06-24,2001,MIN,P,,nflverse MIN
Berger,Mitch,1972-06-24,2002,STL,P,,nflverse SL
Berger,Mitch,1972-06-24,2003,NO,P,,nflverse NO
Bernard,Rocky,1979-04-19,2002,SEA,DT,,nflverse SEA
Bernard,Rocky,1979-04-19,2003,SEA,DT,,nflverse SEA
Berry,Bert,1975-08-15,1997,IND,DE,,nflverse IND
Berry,Bert,1975-08-15,1998,IND,DE,,nflverse IND
Berry,Bert,1975-08-15,1999,IND,DE,,nflverse IND
Berry,Bert,1975-08-15,2001,DEN,DE,,nflverse DEN
Berry,Bert,1975-08-15,2002,DEN,DE,,nflverse DEN
Berry,Bert,1975-08-15,2003,DEN,DE,,nflverse DEN
Bettis,Jerome,1972-02-16,1993,STL,RB,,nflverse RAM
Bettis,Jerome,1972-02-16,1994,STL,RB,,nflverse RAM
Bettis,Jerome,1972-02-16,1995,STL,RB,,nflverse STL
Bettis,Jerome,1972-02-16,1996,PIT,RB,,nflverse PIT
Bettis,Jerome,1972-02-16,1997,PIT,RB,,nflverse PIT
Bettis,Jerome,1972-02-16,1998,PIT,RB,,nflverse PIT
Bettis,Jerome,1972-02-16,1999,PIT,RB,,nflverse PIT
Bettis,Jerome,1972-02-16,2000,PIT,RB,,nflverse PIT
Bettis,Jerome,1972-02-16,2001,PIT,RB,,nflverse PIT
Bettis,Jerome,1972-02-16,2002,PIT,RB,,nflverse PIT
Bettis,Jerome,1972-02-16,2003,PIT,RB,,nflverse PIT
Betts,Ladell,1979-08-27,2002,WAS,RB,,nflverse WAS
Betts,Ladell,1979-08-27,2003,WAS,RB,,nflverse WAS
Bidwell,Josh,1976-03-13,2000,GB,P,,nflverse GB
Bidwell,Josh,1976-03-13,2001,GB,P,,nflverse GB
Bidwell,Josh,1976-03-13,2002,GB,P,,nflverse GB
Bidwell,Josh,1976-03-13,2003,GB,P,,nflverse GB
Binn,David,1972-02-06,1995,SD,C,,nflverse SD
Binn,David,1972-02-06,1996,SD,C,,nflverse SD
Binn,David,1972-02-06,1997,SD,C,,nflverse SD
Binn,David,1972-02-06,1998,SD,C,,nflverse SD
Bird,Cory,1978-08-10,2001,IND,SS,,nflverse IND
Bird,Cory,1978-08-10,2002,IND,SS,,nflverse IND
Bird,Cory,1978-08-10,2003,IND,SS,,nflverse IND
Blade,Willie,1979-02-07,2002,HOU,DT,,nflverse HST
Blade,Willie,1979-02-07,2003,DAL,DT,,nflverse DAL
Blake,Jeff,1970-12-04,1992,NYJ,QB,,nflverse NYJ
Blake,Jeff,1970-12-04,1994,CIN,QB,,nflverse CIN
Blake,Jeff,1970-12-04,1995,CIN,QB,,nflverse CIN
Blake,Jeff,1970-12-04,1996,CIN,QB,,nflverse CIN
Blake,Jeff,1970-12-04,1997,CIN,QB,,nflverse CIN
Blake,Jeff,1970-12-04,1998,CIN,QB,,nflverse CIN
Blake,Jeff,1970-12-04,1999,CIN,QB,,nflverse CIN
Blake,Jeff,1970-12-04,2000,NO,QB,,nflverse NO
Blake,Jeff,1970-12-04,2001,NO,QB,,nflverse NO
Blake,Jeff,1970-12-04,2002,BAL,QB,,nflverse BLT
Blake,Jeff,1970-12-04,2003,ARZ,QB,,nflverse ARZ
Blaylock,Derrick,1979-08-23,2001,KC,RB,,nflverse KC
Blaylock,Derrick,1979-08-23,2002,KC,RB,,nflverse KC
Blaylock,Derrick,1979-08-23,2003,KC,RB,,nflverse KC
Bledsoe,Drew,1972-02-14,1993,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,1994,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,1995,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,1996,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,1997,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,1998,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,1999,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,2000,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,2001,NE,QB,,nflverse NE
Bledsoe,Drew,1972-02-14,2002,BUF,QB,,nflverse BUF
Bledsoe,Drew,1972-02-14,2003,BUF,QB,,nflverse BUF
Bly,Dre',1977-05-22,1999,STL,CB,,nflverse STL
Bly,Dre',1977-05-22,2000,STL,CB,,nflverse STL
Bly,Dre',1977-05-22,2001,STL,CB,,nflverse STL
Bly,Dre',1977-05-22,2002,STL,CB,,nflverse SL
Bly,Dre',1977-05-22,2003,DET,CB,,nflverse DET
Boerigter,Marc,1978-05-04,2002,KC,WR,,nflverse KC
Boerigter,Marc,1978-05-04,2003,KC,WR,,nflverse KC
Boiman,Rocky,1980-01-24,2002,TEN,OLB,,nflverse TEN
Boiman,Rocky,1980-01-24,2003,TEN,OLB,,nflverse TEN
Bolden,Juran,1974-06-27,1996,ATL,CB,,nflverse ATL
Bolden,Juran,1974-06-27,1997,ATL,CB,,nflverse ATL
Bolden,Juran,1974-06-27,1998,GB,CB,,nflverse GB
Bolden,Juran,1974-06-27,1999,KC,CB,,nflverse KC
Bolden,Juran,1974-06-27,2002,ATL,CB,,nflverse ATL
Bolden,Juran,1974-06-27,2003,ATL,CB,,nflverse ATL
Boldin,Anquan,1980-10-03,2003,ARZ,WR,,nflverse ARZ
Boller,Kyle,1981-06-17,2003,BAL,QB,,nflverse BLT
Booker,Marty,1976-07-31,1999,CHI,WR,,nflverse CHI
Booker,Marty,1976-07-31,2000,CHI,WR,,nflverse CHI
Booker,Marty,1976-07-31,2001,CHI,WR,,nflverse CHI
